missing,MAF_bin,Bin_R2_old,Bin_Acc_old,Bin_R2_new,Bin_Acc_new,R2_delta,Acc_delta
5%,0.1%~0.5%,0.7479580129184962,0.9941417243962221,0.6335312728772043,0.9870911838880246,-0.11442674004129183,-0.007050540508197423
5%,0.5%~1%,0.7947220366986177,0.9944476562123622,0.6983902628349279,0.9881435579964991,-0.09633177386368985,-0.006304098215863085
5%,1%~10%,0.9343485118725122,0.9941929047742782,0.8943230065506015,0.9886117973548875,-0.04002550532191074,-0.005581107419390774
5%,10%~20%,0.9684910167006376,0.991498997573545,0.9454667746512868,0.9857782148287354,-0.02302424204935083,-0.005720782744809583
5%,20%~30%,0.966966472775868,0.9883323320823321,0.9419700645132254,0.981826731826732,-0.0249964082626426,-0.006505600255600097
5%,30%~40%,0.9690027587692889,0.9890580582621373,0.9424534158137728,0.9826148336494039,-0.02654934295551603,-0.006443224612733389
5%,40%~50%,0.9680424901808129,0.9891401989754086,0.9449633397918245,0.9839601526431924,-0.023079150388988445,-0.005180046332216248
5%,Overall,0.9679783558456027,0.9916570756356342,0.9446687378730507,0.985782713745787,-0.023309617972551933,-0.005874361889847246
15%,0.1%~0.5%,0.515926568401533,0.9829326614100639,0.3149762547191299,0.956022489041357,-0.20095031368240307,-0.026910172368706853
15%,0.5%~1%,0.5783023688897887,0.9833088436029612,0.3755453767316996,0.9589114515585103,-0.20275699215808912,-0.024397392044450905
15%,1%~10%,0.8255501862661192,0.9810360397791298,0.6655255908809677,0.9568675452052554,-0.16002459538515146,-0.024168494573874377
15%,10%~20%,0.9126977658119979,0.9755100713584112,0.8099086210996962,0.9484350261707309,-0.10278914471230172,-0.027075045187680225
15%,20%~30%,0.9128418887301472,0.9698564386064387,0.8149851507077518,0.9401895964395965,-0.09785673802239536,-0.029666842166842122
15%,30%~40%,0.9158447751492726,0.9704794528452125,0.8138670904092001,0.9398238082598933,-0.10197768474007252,-0.03065564458531922
15%,40%~50%,0.910536543068947,0.970098662308577,0.8143541839932014,0.9420775074148054,-0.09618235907574568,-0.02802115489377155
15%,Overall,0.9120265372953087,0.9760196457635409,0.811618958795887,0.9491807632069693,-0.10040757849942172,-0.02683888255657163
25%,0.1%~0.5%,0.398816737679266,0.9732992496265861,0.21243659639152032,0.9323843968424925,-0.1863801412877457,-0.04091485278409357
25%,0.5%~1%,0.45880624466528347,0.9736504552681023,0.25842601579996227,0.9364481460069696,-0.2003802288653212,-0.03720230926113277
25%,1%~10%,0.7454549526331385,0.9701152010214297,0.5233793466056341,0.9319461243311048,-0.22207560602750442,-0.03816907669032488
25%,10%~20%,0.8692114570170076,0.9626113994052717,0.7110889383336282,0.919446325707118,-0.15812251868337945,-0.0431650736981537
25%,20%~30%,0.8693971965492664,0.9543038605538605,0.7177715893349997,0.9058593433593433,-0.15162560721426666,-0.048444517194517256
25%,30%~40%,0.8737045302999049,0.9551051495789786,0.7166000428490511,0.9048143389636217,-0.1571044874508538,-0.050290810615356896
25%,40%~50%,0.8657233118184484,0.9544209573490489,0.7202224814366934,0.9083019682937968,-0.145500830381755,-0.046118989055252024
25%,Overall,0.867571315501744,0.9630796981898828,0.7118113544868873,0.9200625163996219,-0.15575996101485678,-0.04301718179026093
